# k             sigma       delta     v       da        db       vsr       u   t_trans   itmax    nmax    dt       dx     
  0.0010    -0.00011104    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.0110    -0.00008855    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.0210    -0.00003030    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.0310     0.00005923    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.0410     0.00017332    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.0510     0.00030377    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.0610     0.00044160    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.0710     0.00057768    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.0810     0.00070321    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.0910     0.00081003    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.1010     0.00089075    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.1110     0.00093881    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.1210     0.00094850    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.1310     0.00091484    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.1410     0.00083364    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.1510     0.00070118    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.1610     0.00051432    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.1710     0.00027046    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.1810    -0.00003278    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.1910    -0.00039731    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.2010    -0.00082484    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.2110    -0.00131687    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.2210    -0.00187464    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.2310    -0.00249921    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.2410    -0.00319161    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.2510    -0.00395267    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.2610    -0.00478306    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.2710    -0.00568341    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.2810    -0.00665433    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.2910    -0.00769630    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.3010    -0.00880972    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.3110    -0.00999498    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.3210    -0.01125247    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.3310    -0.01258247    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.3410    -0.01398527    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.3510    -0.01546101    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.3610    -0.01700988    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.3710    -0.01863210    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.3810    -0.02032776    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.3910    -0.02209705    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.4010    -0.02394003    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.4110    -0.02585684    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.4210    -0.02784753    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.4310    -0.02991221    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.4410    -0.03205093    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.4510    -0.03426372    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.4610    -0.03655067    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.4710    -0.03891178    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.4810    -0.04134706    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000
  0.4910    -0.04385654    3.000    0.000    1.000    0.333    0.000    0.000      0     799999    500  0.00100  1.00000


  0.0010    -0.00011104    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.0110    -0.00008855    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
