delta,v,max_sigma,last_tested_k
0.05,250.0,0.0530442,0.1125
0.1,90.0,-1e-08,0.241
0.1,91.0,2.813e-05,0.111
0.1,250.0,0.04295297,0.0701
0.15,81.0,2.09e-06,0.016
0.15,250.0,0.02668055,0.0586
0.2,0.0,-0.95706799,0.011
0.2,10.0,-0.95706542,0.021
0.2,80.0,9.88e-06,0.0735
0.2,81.0,3.914e-05,0.041
0.2,90.0,0.00083723,0.061
0.2,100.0,0.00227643,0.061
0.2,110.0,0.00382872,0.061
0.2,120.0,0.00529639,0.052
0.2,130.0,0.00663135,0.052
0.2,140.0,0.00780038,0.052
0.2,150.0,0.00883616,0.052
0.2,200.0,0.01232032,0.052
0.2,250.0,0.0142004,0.0526
0.25,84.0,6.9e-07,0.011
0.25,85.0,4.61e-06,0.011
0.25,250.0,0.00611089,0.0541
0.3,101.0,6e-08,0.011
0.3,102.0,1.6e-07,0.011
0.3,103.0,2.17e-06,0.016
0.3,250.0,0.00156903,0.0421
0.35,120.0,-2.75e-06,0.011
0.35,150.0,-1.99e-06,0.046
0.35,200.0,-3.6e-07,0.046
0.35,250.0,1.054e-05,0.0456
0.5,250.0,-6.9e-07,0.0181
1.0,0.0,-3.564e-05,0.491
1.0,10.0,-3.614e-05,0.001
1.0,250.0,-4.15e-06,0.0191
3.0,0.0,0.0009485,0.491
3.0,250.0,-2.989e-05,0.0241
