# k              sigma          delta      dc    db   t_trans   itmax       nmax        dt    dx     
  0.00010000   0.00000000   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.00760000   0.00001143   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.01510000   0.00004460   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.02260000   0.00009806   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.03010000   0.00016950   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.03760000   0.00025593   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.04510000   0.00035383   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.05260000   0.00045938   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.06010000   0.00056862   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.06760000   0.00067759   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.07510000   0.00078244   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.08260000   0.00087951   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.09010000   0.00096538   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.09760000   0.00103693   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.10510000   0.00109129   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.11260000   0.00112586   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.12010000   0.00113834   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.12760000   0.00112665   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.13510000   0.00108891   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.14260000   0.00102351   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.15010000   0.00092895   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.15760000   0.00080393   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.16510000   0.00064730   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.17260000   0.00045801   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.18010000   0.00023513   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.18760000  -0.00002213   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.19510000  -0.00031453   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.20260000  -0.00064272   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.21010000  -0.00100728   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.21760000  -0.00140875   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.22509999  -0.00184761   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500
  0.23259999  -0.00232427   2.99999991  1.000  0.333    349     150000       3500  0.010  0.500

  0.00100000  -0.00000636   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.00600000   0.00001469   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.01100000   0.00006486   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.01600000   0.00014196   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.02100000   0.00024286   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.02600000   0.00036394   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.03100000   0.00050150   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.03600000   0.00065195   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.04100000   0.00081207   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.04600000   0.00097902   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.05100000   0.00115040   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.05600000   0.00132417   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.06100000   0.00149868   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.06600000   0.00167252   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.07100000   0.00184455   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.07600000   0.00201382   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.08100000   0.00217953   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.08600000   0.00234105   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.09100000   0.00249779   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.09600000   0.00264932   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.10100000   0.00279523   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.10600000   0.00293518   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.11100000   0.00306891   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.11600000   0.00319613   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.12100000   0.00331666   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.12100000   0.00331666   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.12850000   0.00348448   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.13600000   0.00363627   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.14350000   0.00377159   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.15100000   0.00389008   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.15850000   0.00399142   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.16600000   0.00407534   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.17350000   0.00414163   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.18100000   0.00419011   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.18850000   0.00422058   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.19600000   0.00423292   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.20350000   0.00422700   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.21100000   0.00420271   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.21850000   0.00415995   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.22600000   0.00409865   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.23350000   0.00401870   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.24100000   0.00392007   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.24850000   0.00380267   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.25600000   0.00366647   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.26350000   0.00351141   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.27100000   0.00333744   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.27850000   0.00314454   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.28600000   0.00293267   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.29350000   0.00270180   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.30100000   0.00245189   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.30850000   0.00218294   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.31599999   0.00189492   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.32349999   0.00158781   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.33099999   0.00126159   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.33849999   0.00091626   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.34599999   0.00055180   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.35349999   0.00016820   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.36099999  -0.00023453   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.36849999  -0.00065643   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.37599999  -0.00109746   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.38349999  -0.00155765   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500
  0.39099999  -0.00203700   6.99999969  1.000  0.143    349     150000       3500  0.010  0.500

  0.00010000  -0.00000002   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.00160000  -0.00000034   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.00310000  -0.00000123   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.00460000  -0.00000267   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.00610000  -0.00000469   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.00760000  -0.00000727   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.00910000  -0.00001042   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.01060000  -0.00001414   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.01210000  -0.00001843   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.01360000  -0.00002331   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.01510000  -0.00002877   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.01660000  -0.00003481   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.01810000  -0.00004144   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.01960000  -0.00004868   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.02110000  -0.00005651   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.02260000  -0.00006495   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.02410000  -0.00007401   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.02560000  -0.00008369   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.02710000  -0.00009400   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.02860000  -0.00010494   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.03010000  -0.00011653   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.03160000  -0.00012877   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.03310000  -0.00014168   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.03460000  -0.00015525   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.03460000  -0.00015523   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.03710000  -0.00017937   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.03960000  -0.00020545   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.04210000  -0.00023351   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.04460000  -0.00026361   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.04710000  -0.00029579   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.04960000  -0.00033012   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.05210000  -0.00036664   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.05460000  -0.00040542   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.05710000  -0.00044651   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.05960000  -0.00048998   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.06210000  -0.00053589   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.06460000  -0.00058431   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.06710000  -0.00063529   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.06960000  -0.00068891   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.06960000  -0.00068891   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.07210000  -0.00074522   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
